otu_id,otu_label,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,AXP,0.006868698,-0.339675651,0.000562783,0.359278639,0.17109471,0.047010227,0.185383418,-0.143251065,-0.638984437,1.258279008,0.070671721,0.106434221,0.206819442,0.569791137,0.034735256,-0.243238561,0.108989693,0.347316212,-0.030422203,0.304834558
2,CAT,0.00275084,0.16338406,-0.099845484,0.851784685,0.195362758,0.224478709,0.076721078,0.197357572,-0.368757669,0.324358567,0.666731456,-0.022302717,-0.007903633,-0.002906252,0.039185497,-0.231932335,0.444654294,0.726567387,-0.179165097,0.204403421
3,DIS,0.000113338,-0.248466068,-0.209897155,0.40170364,0.205887999,-0.12878967,0.435979247,-0.046332151,-0.286749036,0.432804174,0.175763821,0.010597025,0.331344741,0.522512131,0.25421598,0.120638901,0.025639337,0.036983563,0.022465713,0.34656535
4,HD,-0.331899206,0.120602887,-0.526191532,0.478751548,0.205863177,-0.049030403,0.012379867,-0.330378576,-0.116666104,0.301407031,0.240235023,0.229129549,0.490326472,0.32246214,0.306182764,0.283121848,0.052467056,0.435203127,-0.076475044,0.42705311
5,IBM,-0.240566854,0.438470238,-0.352779026,0.185080618,0.069836834,-0.161632187,0.194059036,0.128171165,-0.214114611,0.591180963,0.140392738,0.270309139,0.043179058,-0.014897595,-0.122260606,-0.118896699,0.270548576,-0.045640046,-0.230798769,0.257396742
6,INTC,-0.277084859,0.02743853,-0.510106754,1.00814097,-0.272635206,0.069775157,-0.179676065,0.329087274,-0.42652967,0.436095983,0.042641443,0.19445192,-0.13355933,0.275994799,0.452810169,-0.032263324,0.106118867,0.296264157,0.037185068,0.292456726
7,JNJ,0.141905316,0.151746217,-0.07565955,-0.030886832,0.251665224,-0.032509164,0.106585179,0.034375054,-0.075746518,0.107209803,-0.010431134,0.085229766,0.108090783,0.328713145,0.179146175,0.006957885,0.1646756,0.237921614,-0.050950539,0.075295673
8,JPM,-0.044133185,-0.158802277,-0.316161096,0.503459425,0.094611858,0.044830698,0.251572791,-0.069744246,-0.254906245,0.340349684,0.018913302,-0.210543893,0.329384589,0.327489614,0.09486895,0.076082646,0.379889486,0.252078734,-0.072442675,0.392214574
9,KO,0.077278343,-0.206370168,-0.04796099,0.172816899,-0.161973627,-0.012755817,0.216498219,0.301206391,-0.242728101,0.298648842,0.187011209,0.092537949,0.062392583,0.14888911,0.057514074,0.050179796,0.011213514,0.142624047,0.067229945,0.149156416
10,MCD,-0.128415672,-0.210680621,-0.384195762,0.5589676,0.308512027,0.088603786,0.323940958,0.38505265,0.093072326,0.036913738,0.265407586,0.340613654,-0.101602251,0.120984269,0.001155274,0.29825905,0.070099564,0.448566362,0.04802969,0.125253912
11,MMM,0.286055457,0.021826849,0.074855294,0.406300849,-0.017197606,-0.0362949,0.026380309,0.112933918,-0.297260135,0.484978879,0.065313467,-0.033445408,0.138405119,0.52267524,0.21903233,-0.061315949,0.238500909,0.347193237,-0.170549254,-0.061902896
12,MRK,0.388043908,-0.35618124,-0.018400617,-0.128433643,-0.317250222,0.045254222,0.395414137,0.360144972,-0.452670081,0.26479851,0.020802489,0.087838359,0.125887034,0.240155799,0.173468644,-0.045951278,0.16843127,-0.019406848,0.392040526,0.150401781
13,MSFT,-0.630399591,0.501246318,-0.224306077,0.05584691,0.080926603,-0.012411684,0.153892436,0.206282173,-0.446851739,0.597338147,-0.069590518,-0.04997509,0.034849356,0.414238734,0.277493265,0.221436569,0.175239424,0.392602223,0.199785715,0.523682555
14,PG,-0.259007921,0.035281722,0.10968151,0.182586992,0.126378113,0.060790899,0.125440105,0.167225839,-0.135784415,0.01413416,0.085052619,0.069433361,0.058311977,0.22317454,0.155352328,-0.097075029,0.108382941,0.129631199,0.035731811,0.361397455
15,UTX,0.274997949,-0.158229587,-0.028285276,0.545047695,0.10653621,0.101640135,0.125628879,0.242977686,-0.285608461,0.335965397,0.148324591,-0.055276925,0.123816985,0.394474529,0.04047627,-0.145575607,0.191249428,0.182776873,-0.149076248,0.443614694
16,WMT,-0.219443633,0.089312686,-0.119144053,0.054352975,-0.000555471,-0.118553298,0.010832268,0.028779656,0.200501777,-0.024380925,0.026699383,0.132392668,0.165612977,0.169675337,0.118166818,-0.269737406,0.175712266,0.462877827,-0.039663523,0.317487504
17,XOM,0.117179269,-0.073265154,-0.088605193,0.204296282,0.279812694,0.122900368,0.384488628,0.249603226,-0.135611055,-0.128528869,0.092905646,0.17747885,0.032475844,0.18439744,-0.051128258,-0.125672448,0.205983872,-0.045162888,-0.152839729,0.076715535
